cuda:4
Training N=64 T=01
Epoch: 161 | Train Loss: 0.03885 | Test Loss: 0.03941 | lr: 0.005
Epoch: 162 | Train Loss: 0.03592 | Test Loss: 0.03658 | lr: 0.005
Epoch: 163 | Train Loss: 0.02741 | Test Loss: 0.0286 | lr: 0.005
Epoch: 164 | Train Loss: 0.03327 | Test Loss: 0.03474 | lr: 0.005
Epoch: 165 | Train Loss: 0.02784 | Test Loss: 0.02965 | lr: 0.005
Epoch: 166 | Train Loss: 0.02026 | Test Loss: 0.02242 | lr: 0.005
Epoch: 167 | Train Loss: 0.02351 | Test Loss: 0.02462 | lr: 0.005
Epoch: 168 | Train Loss: 0.02904 | Test Loss: 0.03081 | lr: 0.005
Epoch: 169 | Train Loss: 0.03984 | Test Loss: 0.04073 | lr: 0.005
Epoch: 170 | Train Loss: 0.02429 | Test Loss: 0.026 | lr: 0.005
Epoch: 171 | Train Loss: 0.02624 | Test Loss: 0.02873 | lr: 0.005
Epoch: 172 | Train Loss: 0.02105 | Test Loss: 0.02326 | lr: 0.005
Epoch: 173 | Train Loss: 0.02333 | Test Loss: 0.02529 | lr: 0.005
Epoch: 174 | Train Loss: 0.02864 | Test Loss: 0.03047 | lr: 0.005
Epoch: 175 | Train Loss: 0.01996 | Test Loss: 0.02209 | lr: 0.005
Epoch: 176 | Train Loss: 0.02234 | Test Loss: 0.02382 | lr: 0.005
Epoch: 177 | Train Loss: 0.02113 | Test Loss: 0.02265 | lr: 0.005
Epoch: 178 | Train Loss: 0.02016 | Test Loss: 0.0222 | lr: 0.005
Epoch: 179 | Train Loss: 0.02169 | Test Loss: 0.02334 | lr: 0.005
Epoch: 180 | Train Loss: 0.0216 | Test Loss: 0.02344 | lr: 0.005
Epoch: 181 | Train Loss: 0.02087 | Test Loss: 0.02239 | lr: 0.005
Epoch: 182 | Train Loss: 0.03623 | Test Loss: 0.03763 | lr: 0.005
Epoch: 183 | Train Loss: 0.02571 | Test Loss: 0.02711 | lr: 0.005
Epoch: 184 | Train Loss: 0.02291 | Test Loss: 0.0248 | lr: 0.005
Epoch: 185 | Train Loss: 0.02158 | Test Loss: 0.0236 | lr: 0.005
Epoch: 186 | Train Loss: 0.03052 | Test Loss: 0.03223 | lr: 0.005
Epoch: 187 | Train Loss: 0.03386 | Test Loss: 0.03536 | lr: 0.005
Epoch: 188 | Train Loss: 0.02519 | Test Loss: 0.02685 | lr: 0.005
Epoch: 189 | Train Loss: 0.02115 | Test Loss: 0.02284 | lr: 0.005
Epoch: 190 | Train Loss: 0.02181 | Test Loss: 0.02358 | lr: 0.005
Epoch: 191 | Train Loss: 0.02209 | Test Loss: 0.02384 | lr: 0.005
Epoch: 192 | Train Loss: 0.02023 | Test Loss: 0.02248 | lr: 0.005
Epoch: 193 | Train Loss: 0.02391 | Test Loss: 0.02618 | lr: 0.005
Epoch: 194 | Train Loss: 0.0281 | Test Loss: 0.02865 | lr: 0.005
Epoch: 195 | Train Loss: 0.02004 | Test Loss: 0.02177 | lr: 0.005
Epoch: 196 | Train Loss: 0.02461 | Test Loss: 0.02605 | lr: 0.005
Epoch: 197 | Train Loss: 0.03058 | Test Loss: 0.03184 | lr: 0.005
Epoch: 198 | Train Loss: 0.02213 | Test Loss: 0.02348 | lr: 0.005
Epoch: 199 | Train Loss: 0.02614 | Test Loss: 0.02759 | lr: 0.005
Epoch: 200 | Train Loss: 0.02172 | Test Loss: 0.02333 | lr: 0.005
Epoch: 201 | Train Loss: 0.01234 | Test Loss: 0.01441 | lr: 0.0025
Epoch: 202 | Train Loss: 0.01527 | Test Loss: 0.01679 | lr: 0.0025
Epoch: 203 | Train Loss: 0.01228 | Test Loss: 0.01387 | lr: 0.0025
Epoch: 204 | Train Loss: 0.01144 | Test Loss: 0.01287 | lr: 0.0025
Epoch: 205 | Train Loss: 0.01497 | Test Loss: 0.01603 | lr: 0.0025
Epoch: 206 | Train Loss: 0.01092 | Test Loss: 0.01243 | lr: 0.0025
Epoch: 207 | Train Loss: 0.01152 | Test Loss: 0.01326 | lr: 0.0025
Epoch: 208 | Train Loss: 0.0113 | Test Loss: 0.01272 | lr: 0.0025
Epoch: 209 | Train Loss: 0.01052 | Test Loss: 0.01185 | lr: 0.0025
Epoch: 210 | Train Loss: 0.009966 | Test Loss: 0.01139 | lr: 0.0025
Epoch: 211 | Train Loss: 0.01737 | Test Loss: 0.01832 | lr: 0.0025
Epoch: 212 | Train Loss: 0.01862 | Test Loss: 0.01988 | lr: 0.0025
Epoch: 213 | Train Loss: 0.02023 | Test Loss: 0.02109 | lr: 0.0025
Epoch: 214 | Train Loss: 0.01563 | Test Loss: 0.0166 | lr: 0.0025
Epoch: 215 | Train Loss: 0.01134 | Test Loss: 0.01279 | lr: 0.0025
Epoch: 216 | Train Loss: 0.01354 | Test Loss: 0.01468 | lr: 0.0025
Epoch: 217 | Train Loss: 0.01126 | Test Loss: 0.0127 | lr: 0.0025
Epoch: 218 | Train Loss: 0.01213 | Test Loss: 0.01314 | lr: 0.0025
Epoch: 219 | Train Loss: 0.01208 | Test Loss: 0.01341 | lr: 0.0025
Epoch: 220 | Train Loss: 0.0112 | Test Loss: 0.01269 | lr: 0.0025
Epoch: 221 | Train Loss: 0.0133 | Test Loss: 0.01439 | lr: 0.0025
Epoch: 222 | Train Loss: 0.01126 | Test Loss: 0.0126 | lr: 0.0025
Epoch: 223 | Train Loss: 0.01166 | Test Loss: 0.01286 | lr: 0.0025
Epoch: 224 | Train Loss: 0.01106 | Test Loss: 0.01254 | lr: 0.0025
Epoch: 225 | Train Loss: 0.01376 | Test Loss: 0.01476 | lr: 0.0025
Epoch: 226 | Train Loss: 0.0118 | Test Loss: 0.01311 | lr: 0.0025
